house_id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_basement,yr_built,yr_renovated,street,city
722,455000,3,3,1870,7344,1,3,400,1980,0,14013 101st Pl NE,Kirkland
723,335000,3,2,2150,30476,2,3,0,1991,0,4446 S 160th St,Tukwila
724,197500,3,1,980,3090,1,3,0,1903,2005,4531 S Lucile St,Seattle
725,412500,3,2,1490,8475,1,4,0,1963,0,5419 156th Ave NE,Redmond
726,395300,3,2,1120,7000,1,3,0,1955,2005,1323 145th Ave SE,Bellevue
727,342400,3,2,1180,9630,2,3,0,1986,0,8121 NE 147th Pl,Kenmore
728,749400,4,3,3240,20301,2,3,0,1985,0,17013 NE 133rd St,Redmond
729,316500,4,3,2150,6807,2,4,0,1991,0,11401 SE 219th Pl,Kent
730,390000,3,3,2240,10800,2,3,0,1996,0,15839 84th Ave NE,Kenmore
731,225000,3,2,1400,7384,1,3,250,1979,2014,3311 SE 17th St,Renton
732,550000,3,2,1980,40887,1,4,0,1980,0,4216 232nd Ave NE,Redmond
733,280000,3,1,1330,20562,1,3,0,1959,1989,13219 424th Ave SE,North Bend
734,1255000,4,3,3200,7535,2,3,0,2006,0,5038 48th Ave NE,Seattle
735,575000,2,1,1490,6000,1,3,400,1946,0,1106 25th Ave E,Seattle
736,1000000,5,4,3920,16258,2,3,1020,1990,2009,2548 111th Ave SE,Bellevue
737,585000,5,2,2000,3750,2,4,0,1921,0,309 N 46th St,Seattle
738,620000,4,3,2680,9185,2,3,0,1989,0,26118 SE 39th Ct,Issaquah
739,204700,4,2,1670,9987,1,3,0,1967,2011,29031 40th Ave S,Auburn
740,695000,4,3,3150,9130,2,3,0,2001,0,24038 SE 13th Pl,Sammamish
741,689900,4,3,2740,7266,2,3,680,2003,0,392 Wilderness Peak Dr NW,Issaquah
742,375000,4,2,1890,8000,1,4,640,1960,2001,2145 N 178th St,Shoreline
743,475000,7,4,2870,29699,1,3,1350,1961,2004,11738 1st Ave NE,Seattle
744,215000,3,1,1160,10384,1,4,0,1969,0,26516 235th Ave SE,Maple Valley
745,2100000,4,2,3550,19865,2,3,0,1962,2002,7822 NE 14th St,Medina
746,790000,3,2,1790,6117,1,3,440,1940,1996,1922 35th Ave W,Seattle
747,350000,3,2,1680,250470,1,4,610,1940,2001,18949 Mountain View Rd NE,Duvall
748,695000,3,3,4560,17622,2,4,760,1986,0,1315 232nd Pl NE,Sammamish
749,263000,3,2,1590,7748,2,4,0,1991,0,35219 26th Ct S,Federal Way
750,400000,3,1,1630,10304,1,5,0,1953,0,17228 11th Ave NE,Shoreline
751,525000,3,3,2700,7434,2,3,0,1991,0,12415 NE 160th St,Woodinville
752,349950,3,3,1700,7496,2,3,0,1994,0,18901-18937 114th Ct SE,Renton
753,1085000,4,3,3740,12080,1,3,1740,1988,2000,13704-13712 209th Ave NE,Woodinville
754,744000,4,3,1980,5352,2,3,0,1941,2005,4103 SW Kenyon St,Seattle
755,312500,2,1,880,6345,1,3,0,1919,2001,7558 19th Ave SW,Seattle
756,240000,3,2,1400,6200,1,3,700,1948,1994,1610 N 185th St,Shoreline
757,495000,4,2,2050,4000,1,5,840,1941,0,2609 21st Ave S,Seattle
758,580050,3,3,2360,4638,2,3,0,1996,0,601 NE 76th St,Seattle
759,640000,4,2,2560,7798,1,4,670,1947,1988,8600-8698 30th Ave NE,Seattle
760,417000,3,2,1340,10224,1,4,0,1956,0,3825 138th Ave SE,Bellevue
761,174950,3,1,1060,5200,1,5,0,1970,0,26635 Timberlane Dr SE,Covington
762,295000,3,2,850,2500,1,3,0,1986,0,4020 21st Ave SW,Seattle
763,423000,4,2,1880,7303,1,3,870,1976,0,10320 NE 125th Pl,Kirkland
764,839000,3,1,1230,12305,1,3,0,1955,1990,10904 SE 1st St,Bellevue
765,343000,4,2,2290,10290,1,3,950,1960,2012,2816 SW 110th Pl,Seattle
766,467000,3,1,1660,6582,1,5,660,1946,0,12033 Dayton Ave N,Seattle
767,512500,3,3,1840,2875,2,4,0,1997,0,4530 48th Ave SW,Seattle
768,575000,4,3,3020,17810,1,3,1420,1979,2014,4527-4553 NE 201st Pl,Lake Forest Park
769,465000,3,2,1410,6886,1,3,0,1924,2013,12215 Dayton Ave N,Seattle
770,270000,3,1,1010,9514,1,3,0,1969,2010,17620 SE 121st Pl,Renton
771,340000,3,2,1960,8136,1,3,980,1948,1994,2419 SW Barton St,Seattle
772,765000,5,4,3580,14275,2,3,390,1999,0,170 Mt Quay Dr NW,Issaquah
773,497000,4,3,2240,7200,2,3,0,1995,0,4417 47th Ave S,Seattle
774,803100,4,3,3310,5404,2,3,0,2004,2003,19107 NE 64th Way,Redmond
775,344000,3,3,1232,1130,3,3,0,2007,0,12331 A 10th Pl NE,Seattle
776,828950,4,4,3930,5680,2,3,1110,2013,1923,19601-19853 Newport Way NW,Issaquah
777,386380,3,3,1720,3600,2,3,0,2010,0,9881 244th Pl NE,Redmond
778,312000,3,2,1490,974,2,3,270,2009,0,5021 Delridge Way SW,Seattle
779,720000,3,3,3150,151588,2,3,0,2007,0,31215 SE 40th St,Fall City
780,914500,4,3,3950,10856,3,3,0,2013,1923,25707 SE 30th St,Sammamish
781,819995,5,3,3030,10335,2,3,0,2013,1923,8024 117th Pl SE,Newcastle
782,252700,2,2,1070,9643,1,3,0,1985,0,13105 SE 277th Pl,Kent
783,437500,3,3,2320,36847,2,3,0,1992,0,12711 470th Ave SE,North Bend
784,350000,1,1,700,5100,1,3,0,1942,1999,6849 26th Ave NE,Seattle
785,619000,3,3,2720,6439,2,3,0,2005,0,6516 Denny Peak Dr SE,Snoqualmie
786,408200,3,3,1800,5761,2,4,0,1990,0,8124 24th Ave SW,Seattle
787,451000,3,2,1560,4049,1,3,560,1926,2003,4042 34th Ave SW,Seattle
788,317000,3,2,1760,11410,1,5,700,1977,0,16703 133rd Pl SE,Renton
789,799000,4,3,3120,5000,2,3,750,2005,0,2561 NE 85th St,Seattle
790,720000,2,1,2020,7200,1,4,320,1947,1988,10835 41st Ave SW,Seattle
791,490000,3,2,1450,2400,1,3,0,1900,2003,1746 NW 60th St,Seattle
792,239900,4,2,1860,7000,1,3,740,1979,2014,401 SW 322nd St,Federal Way
793,446000,4,2,2270,7800,1,3,980,1977,2004,11123 NE 141st Pl,Kirkland
794,275000,3,3,1480,15639,2,3,0,1987,2000,44402 SE 142nd Pl,North Bend
795,239950,5,1,1460,6032,2,4,0,1941,1998,13012 41st Ave S,Tukwila
796,248000,4,4,1850,6519,2,3,720,1986,0,1501-1515 SW 327th St,Federal Way
797,619500,3,3,2170,5000,2,3,0,2003,0,1778 26th Ave NE,Issaquah
798,363750,3,2,1726,197326,2,4,0,1982,2011,28507 Vashon Hwy SW,Vashon
799,385000,3,2,1180,10541,1,4,240,1981,0,23013 NE 28th St,Sammamish
800,370000,4,2,1370,9957,1,3,470,1972,2002,12054 NE 137th Ct,Kirkland
801,425000,3,3,2670,13218,1,4,0,1988,0,26010 141st Ave SE,Kent
802,342000,3,1,1260,6826,1,3,540,1944,0,14040 24th Ave NE,Seattle
803,345000,4,1,1980,7991,1,3,0,1962,2003,12652 SE 160th St,Renton
804,724800,3,2,2050,3933,1,3,870,1926,2001,2610 E Montlake Pl E,Seattle
805,725000,5,3,2830,5310,2,3,0,2006,0,11931 179th Pl NE,Redmond
806,605000,2,1,910,3600,1,4,0,1909,1989,1617-1621 3rd Ave W,Seattle
807,350000,4,3,2440,4000,2,3,0,2009,0,24246 229th Ave SE,Maple Valley
808,785000,3,2,2180,5440,1,5,1080,1904,0,4111 Woodland Park Ave N,Seattle
809,250000,3,2,1900,6660,1,5,950,1966,0,27022 216th Ave SE,Maple Valley
810,565000,3,2,1520,1221,3,3,0,2013,1923,1512 NW 62nd St,Seattle
811,875000,3,2,2220,6641,1,4,1000,1947,1988,2559 24th Ave W,Seattle
812,862500,4,3,3280,24440,2,3,0,1996,0,12040 201st Pl NE,Woodinville
813,400000,3,3,2740,83199,2,3,0,1973,2013,27200-27218 52nd Ave S,Kent
814,282613,2,1,830,6017,1,4,0,1954,1979,16221 Bagley Pl N,Shoreline
815,174500,2,1,1010,5200,1,3,0,1955,2005,20721 9th Ave S,Des Moines
816,306500,3,2,2060,38377,1,4,500,1978,2000,36415 12th Pl S,Federal Way
817,445000,3,2,1990,7340,2,3,0,1984,0,17849 149th Ave NE,Woodinville
818,433000,4,3,2280,7568,2,4,0,2001,0,2207 Kennewick Pl NE,Renton
819,306000,3,3,1870,5874,2,3,0,2005,0,22610 133rd Pl SE,Kent
820,620000,3,2,1720,4000,1,4,270,1921,0,5255 39th Ave NE,Seattle
821,245000,2,1,870,6150,1,3,0,1941,1994,8627 9th Ave SW,Seattle
822,238000,3,2,1020,1204,2,3,300,2004,2003,3419 SW Morgan St,Seattle
823,523000,3,2,1260,3135,1,3,0,1931,0,3200 44th Ave SW,Seattle
824,522500,3,3,2370,7875,2,3,0,2003,0,6504 E Crest View Loop SE,Snoqualmie
825,180000,3,1,1000,18513,1,3,0,1940,1996,1001 SW 102nd St,Seattle
826,375000,3,2,1100,1751,2,3,160,2007,0,2001 S Norman St,Seattle
827,249000,3,2,1440,7673,1,3,500,1982,0,22119 123rd Ave SE,Kent
828,730100,4,3,3120,14300,2,3,0,2003,0,120 Mt Si Pl NW,Issaquah
829,551000,2,2,2260,9604,1,3,0,1990,2009,9930 NE 197th St,Bothell
830,375000,4,3,2790,7956,2,3,0,2005,0,26004 18th Ave S,Des Moines
831,540000,1,1,1140,6700,1,3,0,1920,1979,9055 Palatine Ave N,Seattle
832,605000,3,2,1290,2500,2,4,0,1987,0,411 27th Ave E,Seattle
833,205000,5,2,1730,5200,1,4,680,1978,2000,26607 190th Ave SE,Covington
834,645000,4,3,3160,11380,2,3,0,1983,2009,2504 225th Pl NE,Sammamish
835,314000,4,3,2340,8990,2,3,0,2003,0,24925 234th Pl SE,Maple Valley
836,330000,3,2,1170,4950,1,4,0,1960,2001,15421 SE 4th Pl,Bellevue
837,490000,2,1,1160,5000,1,4,0,1937,0,7752 33rd Ave NW,Seattle
838,445000,3,3,1970,24318,1,3,0,2010,0,18819 71st Ave NE,Kenmore
839,2000000,5,4,6490,10862,2,4,2550,1991,0,4080 E Mercer Way,Mercer Island
840,377500,3,2,1410,1377,2,3,120,2005,0,2012 NW Boulder Way Dr,Issaquah
841,480000,4,3,2430,5000,2,3,0,2009,0,35019 SE Terrace St,Snoqualmie
842,804995,5,2,3360,5402,2,3,0,2014,0,21481 SE 2nd Pl,Sammamish
843,341000,3,3,1480,1663,2,3,300,2012,1912,6510 34th Ave SW,Seattle
844,675000,5,3,3200,6455,2,3,0,2009,0,6227-6299 Whitaker Ln SE,Snoqualmie
845,611000,3,3,2134,1984,2,3,0,2008,0,373 NE Eagle Way,Issaquah
846,379950,3,3,1860,1787,3,3,0,2007,0,17510 12th Ave NE,Shoreline
847,1270000,4,3,5520,8313,2,3,1950,2008,0,4468 158th Ave SE,Bellevue
848,500000,2,3,1310,1500,2,3,150,2006,0,921-927 18th Ave,Seattle
849,410000,3,2,1700,4250,1,3,810,1944,0,2204 W Emerson St,Seattle
850,415000,3,3,2480,8342,2,3,0,1986,0,18303 155th Pl SE,Renton
851,297000,5,3,1970,8605,2,4,0,1994,0,419 Wetherbee Ln,Enumclaw
852,575550,4,3,2060,7475,1,3,620,1985,0,14117 175th Ave NE,Redmond
853,534640,3,3,2130,3500,1,4,920,1994,0,13440 NE 148th St,Woodinville
854,352500,3,2,1410,14110,1,3,240,1987,2000,7426 N Fork Rd SE,Snoqualmie
855,488000,2,2,1360,4688,1,3,580,1944,0,8023 12th Ave NE,Seattle
856,732000,3,2,1940,55756,1,5,0,1954,0,2049 144th Ave SE,Bellevue
857,215000,2,2,1610,2040,2,4,0,1979,0,2906 Kennewick Pl NE,Renton
858,592500,2,2,1420,9191,1,5,0,1928,1970,800 NE 95th St,Seattle
859,290000,4,3,1700,7280,2,4,0,1988,0,22020 127th Ct SE,Kent
860,475000,2,1,1490,3825,1,3,630,1929,0,7008 19th Ave NW,Seattle
861,320000,3,3,2680,7757,2,3,0,1990,2009,833 SW 346th St,Federal Way
862,1216000,4,3,3190,8684,1,5,1510,1967,0,4625 Somerset Dr SE,Bellevue
863,290000,5,2,2120,7700,1,5,0,1962,0,12611 SE 160th St,Renton
864,487250,4,2,1690,3250,1,3,140,1901,0,4800-4898 Whitman Ave N,Seattle
865,339000,4,3,1830,8601,2,3,0,2003,0,27305 245th Ave SE,Maple Valley
866,440000,2,2,1010,1968,1,5,0,1906,0,6411 22nd Ave NW,Seattle
867,366500,4,3,2070,9300,1,5,950,1945,0,15511 9th Ave NE,Shoreline
868,462000,3,2,1710,4500,1,3,300,1928,1954,5151 S Othello St,Seattle
869,560000,4,1,1660,4690,1,3,400,1945,2010,7353 16th Ave NW,Seattle
870,285000,4,2,2080,13629,1,4,1040,1955,2009,8024 S 130th St,Seattle
871,280000,3,3,1270,9675,2,3,0,1993,0,44633 SE 151st St,North Bend
872,210000,3,1,1080,21043,1,3,0,1942,1999,5612 18th Ave SW,Seattle
873,690000,3,2,1610,5100,1,5,0,1940,0,7341 20th Ave NE,Seattle
874,256500,2,1,1120,9912,1,4,0,1980,0,7615 SW 257th St,Vashon
875,411000,4,3,2500,5257,2,3,0,1966,1963,8309 36th Ave S,Seattle
876,215000,3,1,970,7275,1,4,0,1970,0,11428 SE 225th St,Kent
877,762000,5,2,3370,5000,1,4,1230,1907,0,365 Crockett St,Seattle
878,359950,3,1,1290,189486,1,4,0,1960,2001,29701-29727 138th Ave SE,Auburn
879,480000,4,4,3370,435600,2,3,0,2005,0,44250 SE Edgewick Rd,North Bend
880,1405000,4,4,3410,10769,2,3,0,2008,0,10635 SE 2nd St,Bellevue
881,390000,4,3,2490,8290,2,3,0,1999,0,30271 129th Ave SE,Auburn
882,413500,2,1,770,4000,1,5,0,1924,1956,615 NW 92nd St,Seattle
883,285000,1,2,810,3211,2,4,0,1982,2011,11807 NE 105th Ct,Kirkland
884,475000,4,3,3060,10043,1,4,1360,1968,0,15024 Wallingford Ave N,Shoreline
885,386591,3,3,1690,1613,2,3,540,2014,0,2500 Mulberry Walk NE,Issaquah
886,524950,3,2,1890,3825,1,3,600,1974,0,7360 19th Ave NW,Seattle
887,241000,2,2,1470,3128,2,3,0,2005,0,24023 SE 282nd St,Maple Valley
888,461000,2,1,1060,7193,1,3,0,1926,2003,11053 Greenwood Ave N,Seattle
889,810000,4,3,3480,59242,2,3,0,1988,2000,17822 NE 154th St,Woodinville
890,885000,4,3,2730,3560,1,3,1180,1921,2007,6211 Ravenna Ave NE,Seattle
891,247000,3,2,1580,7941,2,4,0,1986,0,1714 SW 354th Pl,Federal Way
892,296500,3,3,2170,7900,1,4,790,1978,2000,26715 Stanford Ct,Kent
893,141800,2,1,930,4743,1,4,0,1942,1982,821 Dayton Ave NE,Renton
894,333000,4,2,1580,7800,2,2,0,1906,0,2023 24th Ave S,Seattle
895,602000,5,2,3290,11900,1,3,0,1973,2013,6305 150th Ave NE,Redmond
896,565000,4,2,2110,10698,2,4,0,1979,0,4621 193rd Pl SE,Issaquah
897,373000,3,3,1670,3565,2,3,0,1999,0,18581 134th Pl NE,Woodinville
898,588000,3,2,2030,7350,1,4,840,1977,0,10510 160th Ave NE,Redmond
899,485000,3,1,1500,4100,1,3,130,1926,2003,816 NW Market St,Seattle
900,482500,3,2,1450,1445,2,3,470,2005,0,1820 24th Ave,Seattle
901,251200,4,2,1310,8250,1,3,250,1953,0,240 S 198th St,Des Moines
902,869000,5,3,4180,49222,2,4,1300,1979,0,18524 SE 60th St,Issaquah
903,464000,3,2,1630,28600,1,3,0,1967,2011,14926 NE 202nd St,Woodinville
904,755000,4,3,2660,10452,2,3,0,1993,0,10805 177th Ct NE,Redmond
905,280000,3,3,1720,1916,2,3,0,2005,0,454 A St,Renton
906,485000,2,2,1260,1240,3,3,0,2004,2003,3646 Dayton Ave N,Seattle
907,305000,3,2,1610,12247,1,3,0,1981,2013,16215 SE 172nd Ct,Renton
908,110700,2,1,680,8064,1,3,0,1941,1994,14917-14999 27th Pl S,SeaTac
909,850000,4,4,2640,5900,2,3,0,1937,1998,6728 40th Ave SW,Seattle
910,350000,3,2,1640,7200,2,4,0,1985,0,1755 140th Ct SE,Bellevue
911,319950,4,2,2310,8045,1,4,660,1976,1992,16336 131st Ave SE,Renton
912,700000,3,2,2010,4905,1,5,780,1912,0,901 18th Ave,Seattle
913,368000,2,2,1660,4680,1,5,830,1908,0,10010 44th Ave SW,Seattle
914,433500,3,3,2200,3360,2,3,0,2009,0,6729 37th Ave S,Seattle
915,611000,4,3,2460,4200,2,3,0,1998,2006,23911 SE 6th St,Redmond
916,1000000,2,2,2430,23400,1,3,0,1951,1994,18200-18298 13th Ave NW,Shoreline
917,307000,3,1,1370,7500,1,3,0,1960,2012,4751 Stephens Ave,Carnation
918,442500,3,2,1800,10200,1,3,0,1967,2011,17110-17116 146th Ave SE,Renton
919,485000,3,2,2200,7706,2,3,0,1908,1988,23902 6th Ave S,Des Moines
920,367000,2,1,700,2334,1,3,0,1945,2010,2632 NW North Beach Dr,Seattle
921,429000,3,3,1920,15124,2,3,0,1995,0,714 NE 10th St,North Bend
922,446000,5,3,2190,12687,1,5,820,1978,0,20402 63rd Ave NE,Kenmore
923,572500,3,2,2030,9791,1,4,530,1984,0,13322 SE 77th Ct,Newcastle
924,477000,3,3,1350,2053,3,3,0,2005,0,2313 NW 65th St,Seattle
925,518000,3,3,1680,2096,2,3,300,2008,0,8354 11th Ave NW,Seattle
926,462000,5,2,1250,10530,1,4,0,1966,0,4 151st Pl NE,Bellevue
927,1190000,4,3,2240,6000,1,4,970,1914,1945,2009 4th Ave N,Seattle
928,137000,3,1,950,7620,1,3,0,1954,2005,9445 8th Ave SW,Seattle
929,530000,3,4,2320,3174,2,3,260,1997,0,12418 NE 100th St,Kirkland
930,818000,2,3,2380,9374,1,3,0,2011,0,12449 240th Pl NE,Redmond
931,640000,2,2,1540,958,3,3,0,2007,0,1806 11th Ave,Seattle
932,298450,5,3,2100,9752,1,3,900,2007,0,29801-29829 23rd Avenue South,Federal Way
933,575000,4,3,2500,4945,2,3,0,2013,1923,34115 SE Ash St,Snoqualmie
934,730000,4,3,3230,7331,2,3,0,2004,2003,2913 278th Ave SE,Sammamish
935,551000,3,3,2830,5802,2,3,0,2001,0,7928 NE 182nd Pl,Kenmore
936,271310,2,1,870,5340,1,2,0,1906,0,2019 24th Ave S,Seattle
937,675000,4,3,2690,28300,1,3,0,1954,1999,17428 7th Pl SW,Normandy Park
938,479000,3,3,1260,889,3,3,0,2008,0,915 6th Ave N,Seattle
939,520000,4,4,2680,10000,2,3,640,1942,2014,13342 30th Ave NE,Seattle
940,599950,3,3,2660,4975,2,3,0,2014,0,4810 S Raymond St,Seattle
941,483945,2,2,1480,5120,1,4,640,1951,1999,4844 47th Ave SW,Seattle
942,390000,4,2,1770,33132,1,4,580,1965,0,14223 SE 179th Pl,Renton
943,192500,2,1,950,7692,1,3,0,1926,2003,12516 Military Rd S,Seattle
944,330000,2,1,860,8308,1,4,0,1948,0,3522 SW 107th St,Seattle
945,250000,4,2,1960,7560,1,5,800,1978,0,12206 SE 217th St,Kent
946,243000,2,1,1770,5522,1,4,810,1943,0,8040 S 118th St,Seattle
947,575000,4,2,1280,6060,1,3,420,1926,2003,7032 7th Ave NW,Seattle
948,639000,4,3,2150,12028,2,4,0,1982,2011,13615 179th Ave NE,Redmond
949,710000,2,1,1790,4000,1,4,750,1923,0,2422 E McGraw St,Seattle
950,675000,3,2,1990,10260,2,4,0,1987,0,16822 NE 87th St,Redmond
951,405000,5,3,2430,4781,2,3,0,2001,0,16819 SE 171st Pl,Renton
952,615000,4,3,2820,13193,1,3,960,1965,1993,4941-4949 125th Ave SE,Bellevue
953,490000,3,1,1910,8190,1,4,900,1946,1989,9237 7th Ave NW,Seattle
954,467000,3,2,1270,1213,2,3,230,2005,0,1427 NW 62nd St,Seattle
955,480000,4,3,2050,3960,1,4,870,1986,0,2612 49th Ave SW,Seattle
956,755000,6,2,2150,4505,1,3,880,1952,2008,3429 9th Ave W,Seattle
957,760000,4,2,2450,13300,1,4,820,1987,0,5028 157th Ave SE,Bellevue
958,387000,2,2,1230,1280,2,3,270,2012,1912,801-921 Martin Luther King Jr Way S,Seattle
959,925000,4,2,2260,41984,1,4,0,1967,0,6046 126th Ave NE,Kirkland
960,415000,2,1,1050,60113,1,4,0,1943,0,3720 S 312th Ln,Auburn
961,263000,3,2,1570,7775,2,3,0,1982,0,9226 S 239th Pl,Kent
962,519900,4,2,1820,9350,1,4,0,1967,0,2019 182nd Ave NE,Redmond
963,570000,2,2,1540,4025,1,4,350,1908,0,1715 46th Ave SW,Seattle
964,450000,3,2,2060,44866,1,3,0,1953,0,21533 NE Woodinville Duvall Rd,Woodinville
965,1300000,4,4,4380,74052,1,3,0,2001,0,5830 246th Pl NE,Redmond
966,300000,3,1,1090,9900,1,4,0,1955,2009,13424 NE 80th St,Redmond
967,320000,3,2,1480,7225,1,4,0,1965,0,2525 NE 24th St,Renton
968,387500,4,1,1320,4440,1,3,0,1929,0,1505 29th Ave,Seattle
969,458000,1,2,2140,10350,1,3,670,1976,0,14634 128th Ave NE,Woodinville
970,1212500,4,4,4560,16643,1,3,2330,1995,0,16864 SE 57th Pl,Bellevue
971,380000,4,3,2800,9764,2,3,0,2002,0,24729 SE 276th Pl,Maple Valley
972,200000,3,1,1050,5000,1,4,0,1967,0,602 Tacoma Ave NE,Renton
973,385000,3,2,1490,9630,1,4,0,1959,0,6428 NE 184th St,Kenmore
974,396675,2,1,1730,6375,2,4,0,1945,0,7358 28th Ave SW,Seattle
975,452000,4,1,1210,3760,1,3,0,1900,2005,1106 N 80th St,Seattle
976,426000,4,3,2800,8494,2,3,0,2004,2003,24957 SE 279th St,Maple Valley
977,792000,3,2,1570,1050,2,3,0,1915,0,1833 1st Ave N,Seattle
978,315000,3,2,1400,31626,1,2,260,1987,0,20515 SE 333rd Pl,Auburn
979,1275000,4,2,2850,7861,1,4,1400,1970,0,3014 NW Esplanade,Seattle
980,326000,6,3,1880,7200,1,4,0,1966,0,1178 Camas Ave NE,Renton
981,268500,2,1,790,8424,1,4,0,1953,1983,556 N 167th St,Shoreline
982,440000,2,2,1300,4000,2,3,0,1948,1994,5501 37th Ave NE,Seattle
983,300000,3,1,2120,7735,1,4,1060,1967,0,12840 163rd Ave SE,Renton
984,525000,3,2,1540,4773,2,3,0,1941,2009,4017 36th Ave SW,Seattle
985,978000,4,3,2620,13777,1,4,900,1926,1993,2602 Shoreland Dr S,Seattle
986,1125000,6,3,2880,3192,2,4,700,1919,1985,2212 N 36th St,Seattle
987,700000,4,1,1680,4021,1,3,0,1921,2000,2139 N 52nd St,Seattle
988,315000,2,1,790,6969,1,3,0,1955,1984,10830 132nd Ave NE,Redmond
989,309000,3,1,1092,7500,1,3,0,1918,0,7757 15th Ave SW,Seattle
990,219950,3,2,1650,9936,1,3,560,1967,2011,425 S 305th St,Federal Way
991,289000,3,3,2090,4700,2,3,0,2002,0,17814 SE 257th St,Covington
992,210000,4,2,2180,28710,1,3,1000,1950,2005,21922 34th Ave S,SeaTac
993,260000,4,3,1990,6671,2,3,0,1989,0,32819 17th Ave SW,Federal Way
994,699000,4,3,2650,7945,2,3,0,2006,0,11332 30th Ave NE,Seattle
995,1800000,4,4,4460,16953,1,3,1910,1962,1994,2625 82nd Ave NE,Medina
996,299950,3,1,910,8000,1,4,170,1950,1983,20013 15th Ave NW,Shoreline
997,749950,3,3,2770,10773,2,3,0,1992,0,16420 SE 39th Pl,Bellevue
998,1100000,3,2,2390,6888,2,5,0,1939,0,7529 Lakemont Dr NE,Seattle
999,555000,3,3,3050,158558,1,4,0,1987,0,701 S 52nd St,Renton
1000,384000,3,3,1700,4000,2,3,0,2003,0,35131 SE Ridge St,Snoqualmie
1001,499950,5,4,3200,43560,2,3,0,1989,0,18460 SE 143rd St,Renton
1002,430000,3,2,1200,4500,1,5,0,1906,0,5206 13th Ave S,Seattle
1003,350000,4,2,2220,6953,2,4,0,1999,0,22507 SE 279th St,Maple Valley
1004,620000,3,3,2480,9041,2,3,0,2004,2003,8719 228th Way NE,Redmond
1005,765000,4,2,2560,12100,1,4,800,1976,1992,17323 NE 24th St,Redmond
1006,250000,4,2,2500,6300,1,4,1000,1961,2001,24911-24917 38th Ave S,Kent
1007,376000,2,1,1150,4000,1,3,0,1947,2012,2825 W Elmore St,Seattle
1008,475000,4,2,1650,7775,1,4,500,1950,1983,11726 Phinney Ave N,Seattle
1009,120750,3,2,1140,9628,1,4,0,1969,0,34403 30th Ave SW,Federal Way
1010,1690000,3,2,3400,8965,1,5,1580,1957,0,3872 50th Ave NE,Seattle
1011,330000,3,1,1180,43124,1,4,0,1959,0,8442-8514 WA-900,Issaquah
1012,619500,3,3,1700,4105,2,3,0,1992,0,3113 E Cherry St,Seattle
1013,345000,3,2,1240,11200,1,4,0,1954,1979,15154 SE Newport Way,Bellevue
1014,598000,5,2,2890,12478,2,3,0,1977,2004,2116 Sahalee Dr E,Sammamish
1015,335000,3,1,1060,10050,1,4,0,1967,0,8136 NE 147th Pl,Kenmore
1016,372500,4,2,1590,10523,2,4,0,1922,0,14556 Stone Ave N,Shoreline
1017,300000,6,5,2860,5682,2,3,0,1978,0,606 5th St SE,Auburn
1018,194000,1,1,820,1060,1,3,60,2007,0,6017-6199 31st Ave SW,Seattle
1019,507500,3,2,2020,8118,1,3,1000,1963,2008,16630 SE 26th St,Bellevue
1020,325000,4,2,1870,9680,1,4,700,1959,0,12813 81st Ave NE,Kirkland
1021,329900,3,3,2170,4905,2,3,0,2004,2003,22639 SE 280th Pl,Maple Valley
1022,329000,4,3,1600,6765,1,3,770,1947,2011,6048 26th Ave SW,Seattle
1023,494000,4,2,2090,4300,1,4,840,1925,1968,5011 SW Dawson St,Seattle
1024,206000,4,2,1700,6025,1,3,0,1978,0,606 5th St SE,Auburn
1025,423000,4,2,1940,6909,1,4,970,1941,1998,11207 Evanston Ave N,Seattle
1026,259000,3,1,1320,8625,1,4,0,1957,2001,2931 NE 5th Pl,Renton
1027,879950,4,2,3500,13875,1,4,1670,1938,0,10599 Marine View Dr SW,Seattle
1028,345600,5,4,2800,5120,2,3,0,1903,2005,352 17th Ave,Seattle
1029,395000,3,2,1080,2940,1,4,0,1920,0,7505 Ravenna Ave NE,Seattle
1030,625000,4,3,3550,8048,2,3,0,2007,0,6519 Sword Fern Ave SE,Snoqualmie
1031,439000,3,2,2010,251341,2,3,500,2003,0,16103 Kelly Rd NE,Duvall
1032,380000,3,2,1690,1468,2,3,310,2008,0,4355 Jill Pl S,Seattle
1033,440000,3,2,1270,1443,3,3,0,2007,0,9608 Roosevelt Way NE,Seattle
1034,415000,3,2,1970,2377,2,3,290,2008,0,4351 Jill Pl S,Seattle
1035,860000,4,3,3160,8097,2,3,0,2014,0,13009 NE 74th St,Kirkland
1036,500000,3,3,1210,1200,3,3,0,2008,0,3903 Woodland Park Ave N,Seattle
1037,953007,4,4,3120,5086,2,3,640,2008,0,6511 37th Ave NE,Seattle
1038,515000,4,3,2670,8765,2,3,0,2006,0,5407 NE 3rd Pl,Renton
1039,772000,3,2,1640,1204,3,3,0,2014,0,122 27th Ave E,Seattle
1040,329995,4,3,2303,3680,2,3,0,2013,1923,38068 41st Pl S,Auburn
1041,409316,3,3,1800,3168,2,3,0,2014,0,7416 Better Way Loop SE,Snoqualmie
1042,490000,5,4,4460,2975,3,3,1180,2013,1923,1400 10th Ave W,Seattle
1043,305000,2,3,1590,2656,2,3,370,2009,0,5937 Delridge Way SW,Seattle
